code,name,sigma,rho,alpha,sigma_s,sigma_u,csc_strength,avg_skill_premium,avg_labor_input_ratio,sector
622HO,Hospitals and nursing and residential care facilities,0.7082328873241833,-2.2293618352725626,0.14094022490694574,0.30965870379637983,3.427391081979493,2.937594722596746,NaN,NaN,Education/Health
313TT,Textile mills and textile product mills,0.9937568158815961,-1.4569192556723247,0.13909588984205687,0.4070137826838573,160.17467706136816,2.4506760715539206,NaN,NaN,Manufacturing
335,"Electrical equipment, appliances, and components",0.987442348249341,-1.2132233606655707,0.24346308228172284,0.4518296787267217,79.63272272998962,2.2006657089149115,NaN,NaN,Manufacturing
55,Management of companies and enterprises,0.5589509178186183,-1.2542229302266423,0.08951920762381937,0.44361184805242787,2.26732134903015,1.8131738480452606,NaN,NaN,Financial/Admin Services
624,Social assistance,0.3217484052440247,-1.3925067228480295,0.03722526674463992,0.4179716572790251,1.4743791356064337,1.7142551280920542,NaN,NaN,Education/Health
484,Truck transportation,0.9967547269550393,-0.6121162142219674,0.04256210247637276,0.620302674942461,308.14048190885325,1.6088709411770066,NaN,NaN,Transportation/Utilities
5412OP,"Miscellaneous professional, scientific, and technical services",0.6568964121421121,-0.9031019832841438,0.1248262641677746,0.5254579149112759,2.9145716786097733,1.559998395426256,NaN,NaN,Information/Services
5415,Computer systems design and related services,0.8953421122398888,-0.6393985636358956,0.00876519670457544,0.6099797951403453,9.554941547187761,1.5347406758757844,NaN,NaN,Information/Services
481,Air transportation,0.45411014544520756,-0.9949627588925641,0.11303386909964688,0.5012624900101474,1.8318713778177156,1.4490729043377717,NaN,NaN,Transportation/Utilities
111CA,Farms,0.4943903028828721,-0.9199413775899885,0.18960689736536765,0.5208492361653524,1.9778101680046363,1.4143316804728605,NaN,NaN,Primary/Construction
524,Insurance carriers and related activities,0.643813423991502,-0.7608170534187153,0.26317217632678586,0.567918170748318,2.8075173725136167,1.4046304774102172,NaN,NaN,Information/Services
322,Paper products,0.5305838613308035,-0.8600694543193454,0.18473270281671222,0.537614333528169,2.13030596441575,1.390653315650149,NaN,NaN,Manufacturing
23,Construction,0.9714665571189702,-0.3881851635515238,0.13917599143204476,0.7203649961519589,35.04659441797828,1.3596517206704941,NaN,NaN,Primary/Construction
562,Waste management and remediation services,0.5903579398063054,-0.7183868880522781,0.2776921799839761,0.5819411256876265,2.441155577450131,1.3087448278585834,NaN,NaN,Financial/Admin Services
337,Furniture and related products,0.3969887126659448,-0.9077238554359944,0.11019798103885364,0.5241848798768931,1.658343750779613,1.3047125681019391,NaN,NaN,Manufacturing
487OS,Other transportation and support activities,0.6002643697378823,-0.6948779549123971,0.08138341468838318,0.5900129841807322,2.5016534036364795,1.2951423246502793,NaN,NaN,Transportation/Utilities
213,Support activities for mining,0.32244317321648974,-0.9409589064855128,0.21049635077193568,0.5152092590206849,1.475890966588276,1.2634020797020025,NaN,NaN,Primary/Construction
61,Educational services,0.2306811302248938,-1.0138211014496854,0.09363099429526103,0.49656843861658423,1.2998511271305855,1.2445022316745793,NaN,NaN,Education/Health
325,Chemical products,0.48147674779784994,-0.7621388757315963,0.48763936040816513,0.567492161810927,1.9285538223272245,1.2436156235294462,NaN,NaN,Manufacturing
722,Food services and drinking places,0.3163836987740415,-0.9127219768674182,0.1975894581997411,0.5228151357563012,1.4628088859301,1.2291056756414598,NaN,NaN,Other Services
3364OT,Other transportation equipment,0.35322645745219716,-0.832030373612549,0.2168817586117121,0.5458424785982764,1.5461362195811996,1.1852568310647462,NaN,NaN,Manufacturing
513,Broadcasting and telecommunications,0.3858718670109416,-0.7247304992142094,0.5431350904028525,0.5798007285518532,1.6283246871183743,1.110602366225151,NaN,NaN,Information/Services
531,Real estate,0.3207851800723121,-0.7185412414375971,0.9138443506332079,0.5818888577637382,1.472288252053252,1.0393264215099092,NaN,NaN,Information/Services
44RT,Retail trade,0.5751396366361099,-0.4572458968247316,0.28986765649842144,0.6862259843578572,2.3537145053550375,1.0323855334608414,NaN,NaN,Transportation/Utilities
212,"Mining, except oil and gas",0.44558974248287436,-0.5667128006145478,0.42725160113070865,0.6382790768083001,1.8037184313263,1.0123025430974222,NaN,NaN,Primary/Construction
324,Petroleum and coal products,0.31031175115797266,-0.6872066276095389,0.5787632693716056,0.5926956329094178,1.4499304601448262,0.9975183787675115,NaN,NaN,Manufacturing
521CI,"Federal Reserve banks, credit intermediation, and related activities",0.3804484315018197,-0.6035066892675586,0.3421074123782249,0.6236331951048953,1.6140706453605518,0.9839551207693782,NaN,NaN,Information/Services
42,Wholesale trade,0.390251465060762,-0.5479054470791337,0.22667863721552597,0.6460342922669984,1.640020340679705,0.9381569121398957,NaN,NaN,Transportation/Utilities
512,Motion picture and sound recording industries,0.35462326686409057,-0.5585221653378496,0.434253439206789,0.641633479613185,1.5494825714291913,0.9131454322019401,NaN,NaN,Information/Services
5411,Legal services,0.999527937346735,0.1117672807414068,8.172594623445531e-5,1.1258310781826397,2118.362876375503,0.8877606566053282,NaN,NaN,Information/Services
334,Computer and electronic products,0.8600169849197947,0.10339605603002872,0.2141006847651365,1.1153196533713792,7.143723825544376,0.7566209288897661,NaN,NaN,Manufacturing
332,Fabricated metal products,0.8762489615125797,0.2904352671994287,0.15889631893561976,1.4093146879680924,8.080740268710175,0.585813694313151,NaN,NaN,Manufacturing
81,"Other services, except government",0.995548747679691,0.4442312495713335,0.20287179775310707,1.7993095135858146,224.65587840021382,0.5513174981083575,NaN,NaN,Other
532RL,Rental and leasing services and lessors of intangible assets,0.5540229653084371,0.041676643718193226,0.08268524111270167,1.0434891244640996,2.2422679246064736,0.5123463215902438,NaN,NaN,Information/Services
3361MV,"Motor vehicles, bodies and trailers, and parts",0.988329978379664,0.6003459291395523,0.16834230851525955,2.502163928537044,85.68964416119096,0.38798404924011165,NaN,NaN,Manufacturing
326,Plastics and rubber products,0.6484114226516233,0.3194890628214225,0.18062971629659977,1.4694840969728353,2.8442334718091122,0.32892235983020085,NaN,NaN,Manufacturing
485,Transit and ground passenger transportation,0.7846206909588664,0.45604551430781276,0.1236708379164074,1.8383891047933738,4.6429715298650995,0.3285751766510537,NaN,NaN,Transportation/Utilities
339,Miscellaneous manufacturing,0.9882122938405881,0.6917453774319646,0.23035779706675866,3.2440713838096245,84.834147244292,0.29646691640862344,NaN,NaN,Manufacturing
721,Accommodation,0.5694585291434306,0.27879644867309034,0.18205383851475998,1.3865710979378087,2.3226566258773715,0.2906620804703403,NaN,NaN,Other Services
493,Warehousing and storage,0.9627164147039405,0.7156495358823709,0.1487888912592094,3.516786944952281,26.821454859001744,0.24706687882156964,NaN,NaN,Transportation/Utilities
22,Utilities,0.11993615832653297,-0.09383960251606206,0.40890260553492863,0.9142108200322869,1.1362812021665052,0.21377576084259503,NaN,NaN,Primary/Construction
327,Nonmetallic mineral products,0.6308455434523188,0.45182606945352444,0.1866102324565414,1.8242385204329186,2.7088932078782495,0.17901947399879437,NaN,NaN,Manufacturing
333,Machinery,0.5219933440625476,0.37550770720864524,0.17698896822205049,1.601300787124532,2.092021078741738,0.14648563685390237,NaN,NaN,Manufacturing
311FT,Food and beverage and tobacco products,-1.309063283074888,-1.377366209137531,0.48799549547466553,0.4206335549636602,0.4330760474733891,0.06830292606264288,NaN,NaN,Manufacturing
482,Rail transportation,0.9912894280288084,0.9896734373995983,0.14125956195538364,96.83764469322101,114.80302364842267,0.001615990629210029,NaN,NaN,Transportation/Utilities
323,Printing and related support activities,0.9977236483236666,0.9973437851353867,0.042311020910445085,376.4755680431663,439.299432682878,0.000379863188279872,NaN,NaN,Manufacturing
113FF,"Forestry, fishing, and related activities",-0.5713711047536357,-0.5547988392390785,0.1644855255699866,0.6431700196595219,0.636386908843397,-0.01657226551455726,NaN,NaN,Primary/Construction
331,Primary metals,0.9702736930406037,0.9895646772059438,0.2400796951153304,95.82837251278718,33.64023662158637,-0.01929098416534003,NaN,NaN,Manufacturing
211,Oil and gas extraction,0.9795205192185319,0.9994001700945458,0.6735287250638252,1667.1392854993865,48.829362944831125,-0.019879650876013955,NaN,NaN,Primary/Construction
321,Wood products,0.8372715908783139,0.928352987813285,0.1692262850977138,13.957316145912127,6.1452084820187345,-0.09108139693497108,NaN,NaN,Manufacturing
483,Water transportation,0.46296793206979947,0.643292719046555,0.07000530650876052,2.8034190872894276,1.8620861950649334,-0.18032478697675558,NaN,NaN,Transportation/Utilities
315AL,Apparel and leather and allied products,0.7226316120800693,0.9965907321023697,0.16561571767350336,293.3181052433799,3.6053135236473848,-0.2739591200223004,NaN,NaN,Manufacturing
621,Ambulatory health care services,0.677500036381881,0.9633514119068556,0.03310406504562675,27.28618077887324,3.1007755436032465,-0.2858513755249745,NaN,NaN,Education/Health
525,"Funds, trusts, and other financial vehicles",-3.7483494687661674,0.43653874040972407,0.9109542959822488,1.7747449056695677,0.21059949495668534,-4.184888209175892,NaN,NaN,Information/Services
