industry_code,industry_name,rmse_skill_premium,rmse_labor_share,rmse_wage_bill_ratio,rmse_labor_input_ratio,r2_skill_premium,r2_labor_share,r2_wage_bill_ratio,r2_labor_input_ratio,mae_skill_premium,mae_labor_share,mae_wage_bill_ratio,mae_labor_input_ratio,n_obs,converged
111CA,Farms,0.3111946375715521,0.12104195569124519,0.06322912346735683,3.6547580037413523e-17,-1.9938703821012438,-0.35533466618304743,0.7390539166147436,1.0,0.2501731367321444,0.09508210791182592,0.04645752828266731,2.5517222743400774e-17,32,true
113FF,"Forestry, fishing, and related activities",0.21539370828309043,0.032158884629122725,0.049215096015913555,3.594769625318757e-17,-1.9398389690230817,0.7266797507285907,-0.713871490440968,1.0,0.17314312833267054,0.026671690911302077,0.03860635400242431,2.5069552168955147e-17,32,true
211,Oil and gas extraction,0.2474394601558668,0.05336742305443529,0.11814827423286471,1.2412670766236366e-16,-0.04553436922574483,0.36840703903385186,0.9134014324064308,1.0,0.19135674539244604,0.043262575456912526,0.09686074162637717,8.774343259134301e-17,32,true
212,"Mining, except oil and gas",0.40841752332995784,0.1019659758154811,0.06252827267581207,3.3533484466016165e-17,-3.6085107320311316,0.0318817757041473,0.7161743284560589,1.0,0.3406517625044258,0.08980781920917272,0.052855858327009404,2.6412563892292032e-17,32,true
213,Support activities for mining,0.3919131063421096,0.23371205186627275,1.1157553467204195,5.915217512099459e-16,-25.942883011347323,-4.0506120846768106,-0.13895792783025573,1.0,0.3371805572442469,0.20242702819615002,0.9769180206986605,4.154382930855424e-16,32,true
22,Utilities,0.09923722577753104,0.019976882492498696,0.03726294594677846,9.137744913546592e-17,-0.13103058025364223,-0.056134555181551526,0.8342037211112527,1.0,0.0862553911267997,0.016491564678685715,0.032882928954780226,6.80459273157354e-17,32,true
23,Construction,0.050920015976869376,0.058438077525278714,0.00891354108682738,3.072990303391375e-17,-0.32800682311267315,-0.1038037632106592,0.9766358474004743,1.0,0.04495921327350749,0.04973222333793858,0.007882937692007898,2.5069552168955147e-17,32,true
321,Wood products,0.37171045905126493,0.07509642994999197,0.04163164194191582,2.797851554737692e-17,-0.26659949742445543,-0.0926071943244684,0.30038111091413433,1.0,0.2939726729651081,0.05473594908995814,0.032529944069241444,1.880216412671636e-17,32,true
327,Nonmetallic mineral products,0.18420464744195478,0.03957416444733492,0.04940544544425591,3.956759614216694e-17,-0.8988238777198962,0.614090419028021,0.5302456469946499,1.0,0.14439319028881795,0.03389389591906617,0.03661753158637448,2.954625791341142e-17,32,true
331,Primary metals,0.1869070765524877,0.07859062771722812,0.04089139498546939,3.893447375462976e-17,-1.772029577338813,0.48580712508845414,0.756134662410257,1.0,0.16758880818154095,0.06763080007682538,0.0353635701093324,2.954625791341142e-17,32,true
332,Fabricated metal products,0.23878996591947052,0.0370089387152721,0.059176971613424945,4.622943835421144e-17,-5.354893917334886,-1.2754047236440718,0.3504589954291276,1.0,0.1983901783255261,0.030994547682879833,0.047261361185770345,3.044159906230268e-17,32,true
333,Machinery,0.3049736706043722,0.03210198179848472,0.08968504882996407,7.172235881986807e-17,-6.520068181700098,0.575915442513713,0.7804268582448345,1.0,0.2610698816029106,0.026666736016861436,0.08381942627236233,5.461581008236657e-17,32,true
334,Computer and electronic products,1.0008854393280757,0.052902321086514485,1.433207061335194,2.944134386401299e-16,-52.23859624337304,0.4556740062246365,-3.500551067523232,1.0,0.9939348454346147,0.0380061536593129,1.3933115838854786,2.506955216895515e-16,32,true
335,"Electrical equipment, appliances, and components",0.37653056170332416,0.05627213246675637,0.4528075135852137,1.8056613789773516e-16,-25.81067775585287,-0.5638466520829606,0.5262390472891796,1.0,0.2879655411405198,0.043298240796484734,0.297819994476566,1.360918546314708e-16,32,true
3361MV,"Motor vehicles, bodies and trailers, and parts",0.1856709768833239,0.0701137198232188,0.053102359117422115,6.383977028007689e-17,-0.2932896320683789,0.4206427931959358,0.8472850824114656,1.0,0.16482444671680166,0.05082190965831019,0.04693099591305407,4.8348422040127785e-17,32,true
3364OT,Other transportation equipment,0.18258787180858155,0.13432752969738473,0.14950844027880805,1.607629849132838e-16,-1.0357939524715079,-1.768349107982723,0.8399006830282434,1.0,0.14688163493414733,0.120444784809796,0.11511007614535741,1.2534776084477575e-16,32,true
337,Furniture and related products,0.7095075436649586,0.04836984486693238,0.05163573949455294,1.8982499306403567e-17,-18.28836646827556,-0.5778078346894819,-0.6969902745924901,1.0,0.5896300160733826,0.039365209183175695,0.04516557127476805,1.4325458382260084e-17,32,true
339,Miscellaneous manufacturing,0.1939064087714686,0.06382667927905254,0.11564596351128618,1.5445607984615525e-16,-1.283855967254894,-2.222136054198473,0.8945011805324766,1.0,0.15812042307903626,0.05294325499038375,0.09628578616488208,1.1102230246251565e-16,32,true
311FT,Food and beverage and tobacco products,0.6164572545372843,0.1262538065009751,0.1623188193388212,5.5061660827656725e-17,-19.854839708496904,-16.69904262408074,-3.2887427122227333,1.0,0.49633108308318236,0.10010342553855461,0.13585303125583906,4.118569284899774e-17,32,true
313TT,Textile mills and textile product mills,0.766220794404043,0.09169160100625794,0.11748387768291343,4.193074837047805e-17,-4.301566819760303,-3.788598903903245,0.5198212326509299,1.0,0.6001879680398609,0.06685838173285644,0.09957377561908583,2.462188159450952e-17,32,true
315AL,Apparel and leather and allied products,5.902727022531951,0.18370266149166287,1.4251074163680126,5.234300968440621e-17,-701.1853789632248,-4.347404032172596,-39.82457348421036,1.0,5.845959971372087,0.16574632722240584,1.3666022050063011,2.9098587338965795e-17,32,true
322,Paper products,0.4448079257715306,0.049505752397746766,0.13212169659906814,6.613414229375787e-17,-9.243443233050256,-0.7763363713025853,-0.5652308934698995,1.0,0.35007750636656154,0.04345622501173101,0.10500175606043582,4.6557739742345276e-17,32,true
323,Printing and related support activities,0.22782689083853025,0.05612794102263715,0.5842067944914902,2.791627183168331e-16,-0.24339525172118348,0.6693202404794767,0.8685536830594014,1.0,0.17172208316781368,0.049931539947290354,0.33745859845691073,2.077191465427712e-16,32,true
324,Petroleum and coal products,1.2440522411006507,0.09843781336289902,0.9114280252375462,1.984024268812736e-16,-26.199123587505188,-1.1400741127581324,-5.739312340537029,1.0,0.9035039629110946,0.09176361471508145,0.7107530741705493,1.3251049003590579e-16,32,true
325,Chemical products,0.25129935986910845,0.08655458078182254,0.27684839776817904,1.7497449367984205e-16,-1.4969831799452877,-1.5841450595864144,0.8216093112738554,1.0,0.2303726832240251,0.07648880211956005,0.25246795795560495,1.3251049003590579e-16,32,true
326,Plastics and rubber products,0.2542765687383187,0.036772187739489794,0.0953782917827394,6.305643054894281e-17,-0.265070327511707,-0.3042709180630536,0.6098279827778282,1.0,0.18601051865539728,0.026597519563774884,0.06488807864894383,4.6557739742345276e-17,32,true
42,Wholesale trade,0.14363335683991726,0.05950597871295242,0.07017210599287058,1.026484320336661e-16,-0.23547140930838095,-0.8265371388699305,0.8619364313506879,1.0,0.12170880958975899,0.05201582658313524,0.06085621081683276,7.879002110243047e-17,32,true
44RT,Retail trade,0.42472199554514295,0.05579468837128014,0.15220983417798675,6.166164505472427e-17,-9.543517447966734,-1.4892533760356415,-0.8309017437157313,1.0,0.36700701121487334,0.04512899226336455,0.12601050035700342,4.745308089123653e-17,32,true
481,Air transportation,0.4638946942666249,0.17433414827733118,0.3511535324062419,1.8491775341684576e-16,-14.56124759057188,-1.1331373193985215,-0.27485284417814704,1.0,0.3710985080645308,0.15401328573561351,0.27599114462315144,1.5041731301373088e-16,32,true
483,Water transportation,0.4345790871866153,0.08622261551276847,0.11267054330231688,5.66741046074723e-17,-0.5083681878452115,-1.1226699327848273,0.22120339101370567,1.0,0.3684283837954774,0.06842278744272842,0.09464843507724502,4.342404572122588e-17,32,true
484,Truck transportation,4.250469033879729,0.07463209775379881,0.4546627048760083,1.9145442203239148e-17,-1370.4323574104062,-6.420035882798018,-335.74356675010455,1.0,3.0684843903155863,0.06985239041070837,0.3215421361552554,1.29824466589232e-17,32,true
485,Transit and ground passenger transportation,0.20341711262984513,0.05425710690999404,0.016990375711344485,1.6439326626665977e-17,-0.3305283788231208,0.5267203526371588,0.7006293593598988,1.0,0.17373301545208553,0.03487740206807152,0.013966976064392879,1.2087105510031946e-17,32,true
487OS,Other transportation and support activities,0.32404696550327894,0.03691933844917557,0.1383043631727642,8.63435735185346e-17,-9.085847057626102,-0.7867300222452001,-2.6273566753142004,1.0,0.29273584027164645,0.030486274440160162,0.12681425460957743,6.267388042238788e-17,32,true
493,Warehousing and storage,0.32177290519963014,0.0997458916061171,0.025499646897834845,1.9023365875354487e-17,-0.1210173588106549,-3.9984366307819723,0.7247173935333718,1.0,0.21429873675779634,0.05435286514322021,0.017097219741778455,1.3653952520591643e-17,32,true
512,Motion picture and sound recording industries,0.17188022160796712,0.06300236596863906,0.09824568173233658,1.0456726037497365e-16,-0.9467135923073364,-0.17377024608850045,0.7598785122859342,1.0,0.14920972649465908,0.04758851252621526,0.07571556596578558,7.162729191130042e-17,32,true
513,Broadcasting and telecommunications,0.13440431277676906,0.05248731041092919,0.08327569164734805,1.299941617638577e-16,0.2965944999114235,-0.8218249525745145,0.9448114279206385,1.0,0.11558181586530973,0.045691978967976325,0.07305033930982124,1.038595732713856e-16,32,true
524,Insurance carriers and related activities,0.3553892628955417,0.10456136740492526,0.32423067834081987,2.4583922427131e-16,-3.426959486399709,-1.3895137083212346,0.711679137645918,1.0,0.31323013782687753,0.07762289276646896,0.29141515256928846,1.7906822977825104e-16,32,true
525,"Funds, trusts, and other financial vehicles",15.933866450438613,0.01995581754669458,55.64282366558887,8.173047515097248e-16,-6398.868729101334,-0.013411723745099913,-339.9236697067843,1.0,9.22437943527976,0.016346459575617502,35.240065964603005,5.300419601436231e-16,32,true
531,Real estate,0.19718891780021805,0.011027403284203298,0.12024317668827153,1.3524097675792932e-16,-3.492382869204996,-1.5057165506883163,0.8160246397409646,1.0,0.1651050169036302,0.009461352694531579,0.10440428006339346,1.0027820867582059e-16,32,true
532RL,Rental and leasing services and lessors of intangible assets,0.42069118625353075,0.043975388253007924,0.422154200315988,2.6302922602665563e-16,-45.75854302714196,-15.49213871850207,0.5169207709400789,1.0,0.33261683502675077,0.029466673525112785,0.36018278078003285,2.077191465427712e-16,32,true
5411,Legal services,1.3554069480729027,0.07817041388836929,4.462753720235209,6.021806582263472e-16,-13.351064192913203,0.36808212380742544,-1.2692281369367273,1.0,1.34372587009222,0.06278612637956918,4.268118878118334,4.440892098500626e-16,32,true
5415,Computer systems design and related services,0.775875616769463,0.1694755812724447,2.798890477065241,8.055443577849822e-16,-78.74743436277059,-7.703559087196499,-3.7490852799590817,1.0,0.6924625767743406,0.13323229614279788,2.3659046225599702,5.730183352904034e-16,32,true
5412OP,"Miscellaneous professional, scientific, and technical services",0.46623592813570214,0.15617924701751162,1.7089582448268126,6.021806582263472e-16,-9.496589232622732,-52.74076858404632,-1.0145813591007413,1.0,0.41567380928888303,0.11684144672386014,1.442196914504633,4.727401266145828e-16,32,true
55,Management of companies and enterprises,0.16926093513213136,0.04604121419868886,0.08595365730635579,1.1584205988461644e-16,-1.3475952996345488,-2.1307741370026583,0.8975988045047567,1.0,0.1497898917537486,0.028700564910342775,0.0785214169124461,8.4162067995778e-17,32,true
562,Waste management and remediation services,0.28116992110242234,0.04812105919990569,0.3389847264300956,2.848029389681617e-16,-1.4734857422208818,-1.0463583163688965,0.903474808254993,1.0,0.2211015030531726,0.040154886110248575,0.2714628696958485,1.9339368816051114e-16,32,true
61,Educational services,0.4017508940018246,0.22784461762185895,1.5319128776356543,8.327269557395415e-16,-351.9823221536402,-24.30043863049336,-3.7651868065447287,1.0,0.2845452990937612,0.16495900912912978,1.1031635550329364,5.873437936726634e-16,32,true
621,Ambulatory health care services,0.3794882514009782,0.01773456512409835,0.4764161493452676,2.660353719293939e-16,-3.2997350175877687,0.759340972980612,0.1690897451218163,1.0,0.3583861981978829,0.013809262184840267,0.4364332629104993,2.0055641735164118e-16,32,true
624,Social assistance,0.2703800133828329,0.1706017887972584,0.3343837690042281,2.3928232998585695e-16,-9.915912687609861,-71.14064048437618,-0.31725761104365713,1.0,0.24744914656846326,0.12963581919311545,0.31191948396356156,1.862309589693811e-16,32,true
721,Accommodation,0.16318714677990787,0.026959151961203288,0.04137821427103147,6.83515419317592e-17,-0.13306043444534854,0.7273049713842967,0.879436551460146,1.0,0.12418421575497268,0.021276010533861703,0.0338546549550483,5.19297866356928e-17,32,true
722,Food services and drinking places,0.21587042504342208,0.03008565871983123,0.033177918467375736,2.81996930251861e-17,-4.7332645320964195,-1.9724227356072297,0.25756615452319165,1.0,0.16860921909010737,0.024480956329288622,0.026109573581485298,2.3278869871172638e-17,32,true
81,"Other services, except government",1.0566954828532162,0.12187323006351132,0.15837539855004235,2.896051497115411e-17,-321.6576431860267,-7.759388283539236,-12.528970448563644,1.0,1.0162180917340549,0.09442798630951767,0.1424893167637064,2.10405169989445e-17,32,true
622HO,Hospitals and nursing and residential care facilities,0.5209368068462534,0.17960965332893689,0.49953817407459306,1.9638813687609643e-16,-27.298352861641096,-99.8158570432253,-0.1992693059954871,1.0,0.48736891974753044,0.12856808856084678,0.46186826265901265,1.3967321922703582e-16,32,true
482,Rail transportation,0.18861527051210736,0.04442496677776427,0.03308655379329018,2.7075744021451034e-17,-0.2857232395256255,0.7971407873174161,0.6704495659243364,1.0,0.1517370503005783,0.0355126394526689,0.024424939108199765,2.059284642449887e-17,32,true
521CI,"Federal Reserve banks, credit intermediation, and related activities",0.17012901934945024,0.050388132319921675,0.22104897783040783,2.7557896614447316e-16,-0.2851785909777613,-1.5569818772016255,0.9286173171564843,1.0,0.14530277674184935,0.04257025740956426,0.17116435190440377,2.1130051113833625e-16,32,true
